"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","entrez","name"
"ENSG00000182752",6930.41939676306,2.00945741744575,0.0586959607964821,34.2350204371505,7.28753145453526e-257,2.19035867280375e-254,"PAPPA","5069","pappalysin 1"
"ENSG00000277443",2830.20102519863,-1.92487112973113,0.056783258746165,-33.8985675044783,6.99343285900164e-252,2.05906644605748e-249,"MARCKS","4082","myristoylated alanine rich protein kinase C substrate"
"ENSG00000168542",62749.3849250663,1.40797619853379,0.0417772234500642,33.7020051180933,5.40263334132479e-249,1.55887582430586e-246,"COL3A1","1281","collagen type III alpha 1 chain"
"ENSG00000146072",1758.22981855472,2.05314967945912,0.0609351578404287,33.6940077325428,7.07536724214251e-249,2.0014965333802e-246,"TNFRSF21","27242","TNF receptor superfamily member 21"
"ENSG00000145632",3262.15452178144,1.54420931652998,0.0459556652981214,33.6021534344561,1.56032641585273e-247,4.32900561567448e-245,"PLK2","10769","polo like kinase 2"
"ENSG00000140943",1848.88777327798,-1.88894018874501,0.0563180509114599,-33.5405817171247,1.23514394359377e-246,3.36215503287308e-244,"MBTPS1","8720","membrane bound transcription factor peptidase, site 1"
"ENSG00000102024",3591.26703399212,-1.70011421923652,0.0508668866291012,-33.4228086659401,6.3939684522559e-245,1.70825523816104e-242,"PLS3","5358","plastin 3"
"ENSG00000135046",4581.91768778281,-1.46182204308856,0.0438812421361801,-33.3131418329492,2.49135269670538e-243,6.53504461006701e-241,"ANXA1","301","annexin A1"
"ENSG00000081923",1549.06690179341,-2.51858406921492,0.075627323512605,-33.3025678053401,3.54430072864116e-243,9.13100475216179e-241,"ATP8B1","5205","ATPase phospholipid transporting 8B1"
"ENSG00000163346",2917.79069939981,1.80636454414726,0.0545784167633321,33.0966827414614,3.31707317752934e-240,8.39568679512556e-238,"PBXIP1","57326","PBX homeobox interacting protein 1"
"ENSG00000187678",2363.67043987816,1.72050149234571,0.0521567957882385,32.9871010353301,1.24359941026373e-238,3.09334632618533e-236,"SPRY4","81848","sprouty RTK signaling antagonist 4"
"ENSG00000163017",4893.9021785664,-1.86627204969016,0.0566682455613777,-32.9332950262028,7.33821851399139e-238,1.79438099154837e-235,"ACTG2","72","actin, gamma 2, smooth muscle, enteric"
"ENSG00000152894",4900.8667898464,1.68267808700929,0.0514103742561332,32.7303216783828,5.78630373182577e-235,1.39131673231751e-232,"PTPRK","5796","protein tyrosine phosphatase, receptor type K"
"ENSG00000143341",2279.33849385387,2.05088249914764,0.0627894168010183,32.6628690571685,5.2616192106839e-234,1.24441607135306e-231,"HMCN1","83872","hemicentin 1"
"ENSG00000104321",7567.20986030083,3.27141583324056,0.100409818713083,32.5806367860148,7.71318050255174e-233,1.78200952441341e-230,"TRPA1","8989","transient receptor potential cation channel subfamily A member 1"
"ENSG00000115461",200904.539632615,1.26967342433187,0.0389705088239955,32.580365580192,7.7817009799712e-233,1.78200952441341e-230,"IGFBP5","3488","insulin like growth factor binding protein 5"
"ENSG00000113721",11145.9451572206,1.38667491949184,0.042859522725531,32.3539514980603,1.22069085176003e-229,2.75170420599093e-227,"PDGFRB","5159","platelet derived growth factor receptor beta"
"ENSG00000164924",9585.69435022083,-1.33526839002464,0.0416787562339247,-32.0371457950991,3.31557562034211e-225,7.35904761148856e-223,"YWHAZ","7534","tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein zeta"
"ENSG00000153234",635.93920101828,4.2649210041037,0.133630969386209,31.9156631407619,1.61903662813377e-223,3.5390668839524e-221,"NR4A2","4929","nuclear receptor subfamily 4 group A member 2"
"ENSG00000173334",1074.47707273372,2.4018113326795,0.0755036089562192,31.8105500635366,4.62634815954471e-222,9.96183953697785e-220,"TRIB1","10221","tribbles pseudokinase 1"
"ENSG00000160014",4226.55595021453,-1.42237902341293,0.0448658275716067,-31.7029485557306,1.41489222979932e-220,3.00186032342865e-218,"CALM2","805","calmodulin 2"
"ENSG00000171951",793.124579134864,2.95972057393662,0.0935139681345171,31.6500372402029,7.57433325830979e-220,1.58369428866138e-217,"SCG2","7857","secretogranin II"
"ENSG00000148175",3890.72249473237,1.38070607151529,0.0436887251354257,31.603258443349,3.33046829167012e-219,6.86409514913212e-217,"STOM","2040","stomatin"
"ENSG00000134057",780.375869741297,-2.65485404274034,0.0844838443741507,-31.4243990955581,9.3947387171116e-217,1.90898444326435e-214,"CCNB1","891","cyclin B1"
"ENSG00000164761",5291.78842553364,1.48662622157459,0.047342422870774,31.4015661097973,1.92618682834214e-216,3.85959685729056e-214,"TNFRSF11B","4982","TNF receptor superfamily member 11b"
"ENSG00000135074",13374.6004179129,1.14071369150111,0.0363867766540454,31.3496768990195,9.82813325719554e-216,1.94233532193918e-213,"ADAM19","8728","ADAM metallopeptidase domain 19"
"ENSG00000128591",23487.8410667789,-1.32890591622822,0.0432387802903622,-30.7341212518991,1.99329485950931e-207,3.88611688353255e-205,"FLNC","2318","filamin C"
"ENSG00000105088",793.128211520276,2.84637266764823,0.0926197603061052,30.7318077507549,2.14034032197047e-207,4.1171586433424e-205,"OLFM2","93145","olfactomedin 2"
"ENSG00000127920",2352.92723869813,2.09722114710945,0.0683308314765767,30.692164895262,7.24103211025236e-207,1.37455750335014e-204,"GNG11","2791","G protein subunit gamma 11"
"ENSG00000092820",1475.49048809515,-1.9044666990689,0.0623610402118857,-30.5393670887792,7.82712834771414e-205,1.46651922951262e-202,"EZR","7430","ezrin"
"ENSG00000183287",603.48721362449,-3.40244980050167,0.111422218174044,-30.536546985512,8.5318654944518e-205,1.57806696780072e-202,"CCBE1","147372","collagen and calcium binding EGF domains 1"
"ENSG00000130513",4665.52215751242,4.16386504745989,0.137143254940507,30.3614279044652,1.77533717189856e-202,3.24212523784564e-200,"GDF15","9518","growth differentiation factor 15"
"ENSG00000171246",11339.2021259297,1.73576317070338,0.0573459971673576,30.2682533470951,3.00129552444863e-201,5.41246131640254e-199,"NPTX1","4884","neuronal pentraxin 1"
"ENSG00000068489",527.868372422254,-3.25299067281061,0.107933679870325,-30.1387914941735,1.50434081416255e-199,2.67939813900285e-197,"PRR11","55771","proline rich 11"
"ENSG00000076513",2351.57847713981,-1.93824746011343,0.0643143315772284,-30.1371002789012,1.58309303786136e-199,2.78527844600315e-197,"ANKRD13A","88455","ankyrin repeat domain 13A"
"ENSG00000176014",5059.66070673934,-1.57947419592101,0.0525641717671998,-30.048493923129,2.2844984820876e-198,3.97089874711781e-196,"TUBB6","84617","tubulin beta 6 class V"
"ENSG00000112984",587.875352632019,-3.33081354507907,0.111223752223029,-29.9469625732463,4.81939510726271e-197,8.2773110967237e-195,"KIF20A","10112","kinesin family member 20A"
"ENSG00000089159",2841.04018824034,-1.51703652098625,0.0506650605121914,-29.9424594710829,5.51594265494881e-197,9.36217702152312e-195,"PXN","5829","paxillin"
"ENSG00000003436",3855.53263789867,1.53423369093227,0.0514685245664695,29.8091640251096,2.971995893202e-195,4.98569590130527e-193,"TFPI","7035","tissue factor pathway inhibitor"
"ENSG00000171617",3172.76514957676,1.7185457393145,0.0578642643317904,29.6996040502729,7.76954882647802e-194,1.28840552781148e-191,"ENC1","8507","ectodermal-neural cortex 1"
"ENSG00000116729",14027.992136521,1.67155943842211,0.0562999167391345,29.6902648394184,1.02558999673641e-193,1.68138487305865e-191,"WLS","79971","wntless Wnt ligand secretion mediator"
"ENSG00000173546",2782.7113944163,-1.70396813761804,0.0574490202757894,-29.6605256179823,2.48132102863731e-193,4.02224926743263e-191,"CSPG4","1464","chondroitin sulfate proteoglycan 4"
"ENSG00000133818",917.65645300902,-2.56508093910281,0.086614407999995,-29.6149451151702,9.59486837289342e-193,1.53805740017482e-190,"RRAS2","22800","related RAS viral (r-ras) oncogene homolog 2"
"ENSG00000122641",8425.96553258608,1.38894443874996,0.0469273515548635,29.5977589343844,1.59686544211058e-192,2.53164590476147e-190,"INHBA","3624","inhibin beta A subunit"
"ENSG00000066279",593.333577786577,-3.07407554204138,0.104139874416457,-29.5187175831239,1.65607213124476e-191,2.59697311276828e-189,"ASPM","259266","abnormal spindle microtubule assembly"
"ENSG00000111615",1215.27891511062,1.95010608076323,0.0661127395468665,29.496676346029,3.17586493960336e-191,4.92668854662985e-189,"KRR1","11103","KRR1, small subunit processome component homolog"
"ENSG00000064666",5624.42477846777,-1.63876982835805,0.055653739158785,-29.4458171747005,1.42418523243853e-190,2.18582131365858e-188,"CNN2","1265","calponin 2"
"ENSG00000134250",3989.90689953644,-1.3536966824556,0.0459864717856226,-29.4368458786357,1.85527104971902e-190,2.81747320361014e-188,"NOTCH2","4853","notch 2"
"ENSG00000116991",845.465812777274,2.40744474621101,0.0819089959388607,29.3917013463088,7.01082712186688e-190,1.05359586340806e-187,"SIPA1L2","57568","signal induced proliferation associated 1 like 2"
"ENSG00000156011",1865.6956706154,1.73644302542795,0.0591642299715834,29.3495415432934,2.42192418009772e-189,3.60217527281132e-187,"PSD3","23362","pleckstrin and Sec7 domain containing 3"
"ENSG00000159399",1648.34458773227,1.91593319040014,0.0657068407552742,29.1588085559622,6.46002432113803e-187,9.51007866133249e-185,"HK2","3099","hexokinase 2"
"ENSG00000157557",2128.88768598769,1.84086511969407,0.0633707990071794,29.0491069788392,1.57928690914749e-185,2.30145174123948e-183,"ETS2","2114","ETS proto-oncogene 2, transcription factor"
"ENSG00000103257",3712.52147667185,-1.5044745472367,0.051956645342029,-28.9563449936536,2.33480785438468e-184,3.36842729152078e-182,"SLC7A5","8140","solute carrier family 7 member 5"
"ENSG00000065911",1563.07540926849,-1.94141237317993,0.0670812554344829,-28.941205119157,3.62093459260261e-184,5.17220033341364e-182,"MTHFD2","10797","methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 2, methenyltetrahydrofolate cyclohydrolase"
"ENSG00000136153",4620.22110366109,-1.40055528389669,0.0485629654832267,-28.8399868080634,6.76592893021319e-183,9.56980947805743e-181,"LMO7","4008","LIM domain 7"
"ENSG00000108932",593.620514665934,3.80964958773337,0.132225005822354,28.8118693135222,1.52318027960754e-182,2.13348756251437e-180,"SLC16A6","9120","solute carrier family 16 member 6"
"ENSG00000145147",601.510428483162,-2.66824014002466,0.0926132768410625,-28.810557525178,1.58192122519572e-182,2.19445937652871e-180,"SLIT2","9353","slit guidance ligand 2"
"ENSG00000171444",1285.81453923875,1.85036210444363,0.0642545116611982,28.797388021564,2.31273362655323e-182,3.17769600288414e-180,"MCC","4163","mutated in colorectal cancers"
"ENSG00000135318",10396.875971113,-1.17944731343281,0.0409660260175853,-28.7908647259687,2.79124802622081e-182,3.79899389380071e-180,"NT5E","4907","5'-nucleotidase ecto"
"ENSG00000088448",1041.5088322989,2.3553420949506,0.0819289752663922,28.7485848235279,9.43414959064524e-182,1.27202314153494e-179,"ANKRD10","55608","ankyrin repeat domain 10"
"ENSG00000182481",2566.38058699848,-1.60981476718235,0.0560251201365066,-28.7338030379943,1.4435569640791e-181,1.92835151118234e-179,"KPNA2","3838","karyopherin subunit alpha 2"
"ENSG00000108829",3850.57518186778,-1.47215945978363,0.0512520554873043,-28.7239105980501,1.9187082655402e-181,2.53956001348151e-179,"LRRC59","55379","leucine rich repeat containing 59"
"ENSG00000100345",41759.3349472728,-1.22344911994724,0.0428117204386804,-28.5774341094187,1.28175727275169e-179,1.68108292490806e-177,"MYH9","4627","myosin heavy chain 9"
"ENSG00000171848",822.67379311788,-2.51734181190299,0.0883739565515667,-28.4851093029213,1.79143875237136e-178,2.32838620544699e-176,"RRM2","6241","ribonucleotide reductase regulatory subunit M2"
"ENSG00000038427",13753.9971136825,1.28176182176483,0.0450861422014713,28.4291748900841,8.81727923934329e-178,1.13577578201791e-175,"VCAN","1462","versican"
"ENSG00000141429",3588.58297366052,1.50278118478047,0.0529855765623521,28.3620804430057,5.93979256728153e-177,7.58348560780271e-175,"GALNT1","2589","polypeptide N-acetylgalactosaminyltransferase 1"
"ENSG00000155903",1023.35613415789,2.04257229995343,0.0721027031658849,28.3286508032041,1.53394206134597e-176,1.94124404552967e-174,"RASA2","5922","RAS p21 protein activator 2"
"ENSG00000117399",548.054729960495,-3.20084541774275,0.113072841989126,-28.3078178759367,2.76911146321183e-176,3.47391052867453e-174,"CDC20","991","cell division cycle 20"
"ENSG00000091039",4444.70184434491,1.56880735316413,0.0554970078933226,28.2683231531998,8.47523764182662e-176,1.05407115050545e-173,"OSBPL8","114882","oxysterol binding protein like 8"
"ENSG00000147065",17820.4971549208,-1.02905734097848,0.0365114896111047,-28.184479788124,9.06230102058333e-175,1.11745142584578e-172,"MSN","4478","moesin"
"ENSG00000135926",1251.33626199858,-1.84719988184436,0.0656635671187536,-28.1312752702526,4.06148650272688e-174,4.96568354024073e-172,"TMBIM1","64114","transmembrane BAX inhibitor motif containing 1"
"ENSG00000173801",2853.13714423843,1.5448593785815,0.0551075911988685,28.0335130781986,6.34605178121357e-173,7.69365454181245e-171,"JUP","3728","junction plakoglobin"
"ENSG00000163661",1909.80217231797,-1.64519114591903,0.0588872413736233,-27.9379897502882,9.22525189726499e-172,1.10910590934868e-169,"PTX3","5806","pentraxin 3"
"ENSG00000185112",747.773002441521,2.63684210591906,0.0943888842063369,27.9359389412301,9.76994754010935e-172,1.16488457157982e-169,"FAM43A","131583","family with sequence similarity 43 member A"
"ENSG00000103449",1051.52143130918,2.34086717452335,0.0838944804200114,27.9025171000997,2.48688779091275e-171,2.9408467343851e-169,"SALL1","6299","spalt like transcription factor 1"
"ENSG00000057657",689.791384929011,2.81159963292423,0.100876448051492,27.8717152242421,5.87736912015749e-171,6.8937239265457e-169,"PRDM1","639","PR/SET domain 1"
"ENSG00000170759",4331.58598921615,-1.28357849421348,0.0460732428128601,-27.8595214021966,8.25925259061354e-171,9.60937396167593e-169,"KIF5B","3799","kinesin family member 5B"
"ENSG00000109685",1268.17937848349,-1.88428713312255,0.0679604301704159,-27.7262390540724,3.37112824561458e-169,3.89082137595852e-167,"WHSC1","7468","Wolf-Hirschhorn syndrome candidate 1"
"ENSG00000172795",852.701537725169,2.12227813358635,0.076652789881377,27.686900070704,1.00403495221075e-168,1.14962002028131e-166,"DCP2","167227","decapping mRNA 2"
"ENSG00000184838",1048.67798618006,2.26600565712284,0.0819074448741095,27.6654418973227,1.81971560537654e-168,2.06716827076908e-166,"PRR16","51334","proline rich 16"
"ENSG00000166510",570.336073336896,2.80780313515354,0.101792958018195,27.5834712913211,1.75671955111488e-167,1.98001507530737e-165,"CCDC68","80323","coiled-coil domain containing 68"
"ENSG00000197565",563.648360733133,3.3726005726306,0.122525510864522,27.5257009649176,8.64842051251272e-167,9.67215214992411e-165,"COL4A6","1288","collagen type IV alpha 6 chain"
"ENSG00000166851",502.683929770066,-3.2915566502096,0.119775844822901,-27.4809721031519,2.96419823116475e-166,3.28957599084722e-164,"PLK1","5347","polo like kinase 1"
"ENSG00000076706",1719.55770882045,-1.57533705505301,0.0573449724915388,-27.4712322041038,3.87511213041305e-166,4.2676521149213e-164,"MCAM","4162","melanoma cell adhesion molecule"
"ENSG00000102225",1340.69055489962,-1.73686507574877,0.0632779048597778,-27.4482077053217,7.29841470767123e-166,7.97683552936158e-164,"CDK16","5127","cyclin dependent kinase 16"
"ENSG00000161800",563.923688119321,-2.76995902167177,0.1009848063931,-27.4294631104134,1.22150445763152e-165,1.32501088798872e-163,"RACGAP1","29127","Rac GTPase activating protein 1"
"ENSG00000072041",2369.28278181903,4.96290546572504,0.181181634415711,27.3918793244681,3.42687090473258e-165,3.68951242855052e-163,"SLC6A15","55117","solute carrier family 6 member 15"
"ENSG00000113387",1168.42585268541,-2.02876896767886,0.0741038398311506,-27.3773797997717,5.09999601706409e-165,5.45019574356916e-163,"SUB1","10923","SUB1 homolog, transcriptional regulator"
"ENSG00000152223",2690.47150334747,-1.50252384236281,0.0549517220406352,-27.3426161468014,1.32188053423781e-164,1.40226253437124e-162,"EPG5","57724","ectopic P-granules autophagy protein 5 homolog"
"ENSG00000076641",954.690284174,2.0239148817192,0.0741123689198303,27.3087328231072,3.34068783961614e-164,3.51796375636074e-162,"PAG1","55824","phosphoprotein membrane anchor with glycosphingolipid microdomains 1"
"ENSG00000089685",509.548185635596,-3.06649983246697,0.113034811405015,-27.1288092079827,4.50369781150273e-162,4.70832234250361e-160,"BIRC5","332","baculoviral IAP repeat containing 5"
"ENSG00000111206",489.63700653501,-2.99407878305451,0.110466343208187,-27.1039910990066,8.83560287133503e-162,9.17059299458637e-160,"FOXM1","2305","forkhead box M1"
"ENSG00000136378",1190.06353560081,2.12114580575146,0.0784050309334106,27.0536951583241,3.4556566338496e-161,3.56105416118201e-159,"ADAMTS7","11173","ADAM metallopeptidase with thrombospondin type 1 motif 7"
"ENSG00000125845",1172.2386809597,5.34696369437688,0.198489907677208,26.9382144258554,7.83974324405033e-160,8.0215585660932e-158,"BMP2","650","bone morphogenetic protein 2"
"ENSG00000174574",1409.88985133804,-1.73874537700505,0.0647166407247939,-26.8670523922747,5.33188591137153e-159,5.41712098896881e-157,"AKIRIN1","79647","akirin 1"
"ENSG00000075426",1241.54577193998,-2.01526695832541,0.0750391281014981,-26.8562150082495,7.13646236591516e-159,7.19984213657748e-157,"FOSL2","2355","FOS like 2, AP-1 transcription factor subunit"
"ENSG00000167553",3002.80270522025,-1.43335874889297,0.0533984676814147,-26.8426943904956,1.02650054811369e-158,1.0284252366414e-156,"TUBA1C","84790","tubulin alpha 1c"
"ENSG00000113319",1375.65463563177,1.71487172229647,0.0639248576469406,26.8263674792641,1.59183469444924e-158,1.58382063012546e-156,"RASGRF2","5924","Ras protein specific guanine nucleotide releasing factor 2"
"ENSG00000147883",1092.60954361111,2.16866964735386,0.0809159178078425,26.801520715664,3.10201237209066e-158,3.06525565014739e-156,"CDKN2B","1030","cyclin dependent kinase inhibitor 2B"
"ENSG00000205542",10772.7240037773,-1.36583234946297,0.0509789899895565,-26.7920637451384,3.9981008687947e-158,3.92385042408852e-156,"TMSB4X","7114","thymosin beta 4, X-linked"
"ENSG00000119326",1060.1999959954,-2.05940022192215,0.0771772800366329,-26.6840217865237,7.21451104057737e-157,7.03268586367634e-155,"CTNNAL1","8727","catenin alpha like 1"
"ENSG00000125384",562.779146692896,-2.69859693401884,0.101182994865108,-26.6704591776165,1.0364788877873e-156,1.00357590027567e-154,"PTGER2","5732","prostaglandin E receptor 2"
"ENSG00000100106",1548.43376339178,-1.5417623754388,0.0578871237002586,-26.6339433864791,2.74675922802201e-156,2.64183302551157e-154,"TRIOBP","11078","TRIO and F-actin binding protein"
"ENSG00000134333",9887.50008844397,-1.0153125874598,0.0382935580523413,-26.5139266001876,6.69699272869847e-155,6.39851086734655e-153,"LDHA","3939","lactate dehydrogenase A"
"ENSG00000167900",535.537322697115,-2.9637040465789,0.111882584315739,-26.4894135642699,1.28355326899443e-154,1.21827782972254e-152,"TK1","7083","thymidine kinase 1"
"ENSG00000091844",494.500786591075,2.78379889777462,0.105139557073573,26.4771792392715,1.77552851652414e-154,1.67421894822835e-152,"RGS17","26575","regulator of G-protein signaling 17"
"ENSG00000157227",22662.7967620428,1.09828731107035,0.0414885790268465,26.4720396993994,2.03472164597173e-154,1.90616423288533e-152,"MMP14","4323","matrix metallopeptidase 14"
"ENSG00000091409",2615.20252718009,-1.34217416795795,0.0508532416003408,-26.3930897169976,1.64477370578683e-153,1.53091291957333e-151,"ITGA6","3655","integrin subunit alpha 6"
"ENSG00000109321",3907.19054249844,7.02737916983886,0.266302406601441,26.3887182227246,1.84621143644951e-153,1.70739053805494e-151,"AREG","374","amphiregulin"
"ENSG00000100647",1393.45153066727,1.7142905151224,0.0649978547043614,26.3745707134449,2.6829178717969e-153,2.46537937174611e-151,"SUSD6","9766","sushi domain containing 6"
"ENSG00000169439",2385.18491369971,1.32187352149003,0.0501258073329643,26.3711168322814,2.93916115250476e-153,2.68375176880926e-151,"SDC2","6383","syndecan 2"
"ENSG00000042062",529.580434708431,3.45965244134358,0.131510565791737,26.3070303174147,1.59351891844422e-152,1.44589292052797e-150,"FAM65C","140876","family with sequence similarity 65 member C"
"ENSG00000139318",1424.14713666972,1.67353699793436,0.0636721172279468,26.2836712645047,2.94781730644268e-152,2.65801001750303e-150,"DUSP6","1848","dual specificity phosphatase 6"
